@RELATION games
@ATTRIBUTE queryID	string
@ATTRIBUTE queryName	string
@ATTRIBUTE recommendationCount	real
@ATTRIBUTE Steamspyowners	real
@ATTRIBUTE isFree	real
@ATTRIBUTE categorySinglePlayer	real
@ATTRIBUTE categoryMultiplayer	real
@ATTRIBUTE categoryCoop	real
@ATTRIBUTE categoryMMO	real
@ATTRIBUTE categoryInAppPurchase	real
@ATTRIBUTE categoryIncludesLevelEditor	real
@ATTRIBUTE categoryVrSupport	real
@ATTRIBUTE genreIsNongame	real
@ATTRIBUTE genreIsIndie	real
@ATTRIBUTE genreIsAction	real
@ATTRIBUTE genreIsAdventure	real
@ATTRIBUTE genreIsCasual	real
@ATTRIBUTE genreIsStrategy	real
@ATTRIBUTE genreIsRPG	real
@ATTRIBUTE genreIsSimulation	real
@ATTRIBUTE genreIsEarlyAccess	real
@ATTRIBUTE genreIsFreeToPlay	real
@ATTRIBUTE genreIsSports	real
@ATTRIBUTE genreIsRacing	real
@ATTRIBUTE genreIsMMO	real
@ATTRIBUTE priceInitial	real
@ATTRIBUTE priceFinal	real


@DATA
3270,Painkiller-Overdose,374,256111,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,1.24
3300,Bejeweled-2-Deluxe,0,53805,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
3310,Chuzzle-Deluxe,0,37663,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
3320,Insaniquarium!-Deluxe,414,86626,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
3330,Zuma-Deluxe,118,55598,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
3340,AstroPop-Deluxe,0,26544,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
3350,Bejeweled-Deluxe,0,36587,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
3360,Big-Money!-Deluxe,0,26006,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
3380,Dynomite!-Deluxe,0,27799,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
3390,Feeding-Frenzy-2:-Shipwreck-Showdown-Deluxe,159,124110,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
